Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
16052,INN16053,1,0,1,2,Meal Plan 1,0,Room_Type 4,12,2018,10,24,Aviation,1,0,5,110.0,0,Not_Canceled
24817,INN24818,2,0,2,5,Meal Plan 1,0,Room_Type 1,127,2018,5,7,Online,0,0,0,99.45,1,Not_Canceled
22740,INN22741,2,0,1,2,Meal Plan 1,0,Room_Type 4,233,2018,9,5,Online,0,0,0,138.13,1,Canceled
30784,INN30785,2,2,2,1,Meal Plan 1,0,Room_Type 6,139,2018,7,30,Online,0,0,0,192.3,1,Canceled
25476,INN25477,2,0,1,4,Meal Plan 1,0,Room_Type 1,56,2018,3,2,Offline,0,0,0,55.38,0,Not_Canceled
5542,INN05543,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,7,21,Corporate,0,0,0,65.0,0,Not_Canceled
24022,INN24023,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Offline,0,0,0,115.0,0,Canceled
23177,INN23178,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,2018,12,8,Online,0,0,0,82.44,1,Not_Canceled
7758,INN07759,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
6548,INN06549,3,0,0,5,Meal Plan 1,0,Room_Type 7,5,2018,10,4,Online,0,0,0,229.46,0,Canceled
24282,INN24283,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,2017,12,29,Offline,0,0,0,60.25,0,Not_Canceled
4481,INN04482,2,0,0,4,Meal Plan 1,0,Room_Type 1,156,2018,8,2,Online,0,0,0,99.45,0,Canceled
3716,INN03717,0,2,0,1,Meal Plan 1,0,Room_Type 2,3,2018,6,16,Online,0,0,0,131.78,0,Not_Canceled
10837,INN10838,1,0,2,0,Meal Plan 1,0,Room_Type 1,61,2017,10,4,Online,0,0,0,0.0,0,Not_Canceled
9956,INN09957,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
31174,INN31175,2,2,1,4,Meal Plan 1,0,Room_Type 6,128,2018,8,24,Online,0,0,0,137.91,0,Canceled
34317,INN34318,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,27,Offline,0,0,0,60.0,0,Not_Canceled
27605,INN27606,2,0,0,3,Meal Plan 1,0,Room_Type 1,10,2018,11,3,Online,0,0,0,136.67,2,Not_Canceled
26715,INN26716,1,0,1,3,Meal Plan 1,0,Room_Type 4,56,2018,9,5,Online,0,0,0,123.98,2,Not_Canceled
30874,INN30875,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,2018,5,16,Offline,0,0,0,89.75,0,Not_Canceled
31238,INN31239,2,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,70.0,1,Not_Canceled
14818,INN14819,2,0,2,0,Not Selected,0,Room_Type 1,114,2018,6,26,Online,0,0,0,85.5,1,Not_Canceled
33535,INN33536,1,0,2,5,Meal Plan 1,0,Room_Type 4,5,2018,10,11,Aviation,0,0,0,110.0,0,Not_Canceled
5693,INN05694,1,0,0,1,Meal Plan 1,0,Room_Type 4,6,2018,11,8,Corporate,0,0,0,94.0,0,Not_Canceled
32371,INN32372,2,0,0,1,Not Selected,0,Room_Type 1,84,2018,12,22,Online,0,0,0,79.2,0,Canceled
15422,INN15423,1,0,0,2,Meal Plan 1,0,Room_Type 6,13,2018,9,27,Online,0,0,0,176.33,0,Not_Canceled
12411,INN12412,0,2,1,1,Meal Plan 1,0,Room_Type 2,53,2018,5,16,Online,0,0,0,127.6,0,Not_Canceled
35444,INN35445,2,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,8,18,Online,0,0,0,140.0,2,Not_Canceled
3292,INN03293,2,0,1,2,Meal Plan 1,0,Room_Type 2,224,2017,10,2,Offline,0,0,0,65.0,1,Not_Canceled
34171,INN34172,1,0,0,5,Meal Plan 1,0,Room_Type 1,139,2018,10,4,Online,0,0,0,102.06,0,Canceled
1382,INN01383,2,0,0,3,Meal Plan 1,0,Room_Type 1,308,2018,11,23,Online,0,0,0,78.3,2,Canceled
23312,INN23313,1,0,0,3,Meal Plan 1,0,Room_Type 1,163,2018,10,5,Offline,0,0,0,100.8,0,Canceled
34406,INN34407,2,0,0,3,Meal Plan 1,0,Room_Type 1,73,2017,11,24,Offline,0,0,0,85.67,0,Not_Canceled
32003,INN32004,2,0,0,2,Meal Plan 1,0,Room_Type 4,40,2018,10,21,Online,0,0,0,175.0,0,Canceled
23291,INN23292,2,0,0,1,Meal Plan 2,0,Room_Type 6,1,2018,12,15,Complementary,1,0,3,0.0,1,Not_Canceled
31823,INN31824,2,0,2,2,Meal Plan 1,0,Room_Type 1,179,2018,7,17,Online,0,0,0,90.95,1,Not_Canceled
6406,INN06407,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
9074,INN09075,2,0,1,1,Not Selected,0,Room_Type 1,29,2018,5,21,Online,0,0,0,113.55,0,Canceled
28141,INN28142,1,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,8,17,Complementary,1,1,1,0.0,0,Not_Canceled
28861,INN28862,3,0,1,3,Meal Plan 1,0,Room_Type 4,96,2018,9,1,Online,0,0,0,166.05,4,Not_Canceled
5448,INN05449,2,0,2,1,Meal Plan 1,0,Room_Type 1,104,2018,5,14,Online,0,0,0,126.9,1,Not_Canceled
29794,INN29795,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2017,9,10,Online,0,0,0,124.0,1,Canceled
25032,INN25033,2,0,2,1,Meal Plan 1,0,Room_Type 4,20,2018,10,2,Online,0,0,0,164.0,0,Not_Canceled
30158,INN30159,2,2,0,4,Meal Plan 1,0,Room_Type 2,95,2018,12,7,Online,0,0,0,155.72,1,Not_Canceled
26526,INN26527,1,0,1,0,Meal Plan 1,0,Room_Type 1,10,2017,10,18,Corporate,0,0,0,65.0,0,Not_Canceled
31497,INN31498,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,6,2,Online,0,0,0,120.0,0,Not_Canceled
13828,INN13829,2,0,2,3,Meal Plan 1,0,Room_Type 4,10,2018,12,30,Online,0,0,0,120.36,2,Not_Canceled
6430,INN06431,3,0,0,1,Meal Plan 1,0,Room_Type 4,19,2018,4,27,Online,0,0,0,167.0,0,Canceled
6610,INN06611,1,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,90.0,0,Not_Canceled
27286,INN27287,1,0,1,3,Meal Plan 1,0,Room_Type 4,96,2018,3,24,Online,0,0,0,99.45,0,Not_Canceled
20733,INN20734,2,0,2,2,Not Selected,0,Room_Type 1,198,2018,7,31,Online,0,0,0,62.18,1,Not_Canceled
12330,INN12331,1,0,1,2,Meal Plan 1,0,Room_Type 1,3,2017,11,2,Corporate,0,0,0,79.0,1,Not_Canceled
18268,INN18269,2,0,2,5,Meal Plan 1,0,Room_Type 1,237,2018,12,28,Online,0,0,0,95.56,0,Canceled
12677,INN12678,2,0,0,2,Not Selected,0,Room_Type 1,64,2018,10,25,Online,0,0,0,80.1,0,Not_Canceled
28179,INN28180,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,3,15,Online,0,0,0,97.0,1,Not_Canceled
33613,INN33614,2,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,130.0,1,Not_Canceled
8734,INN08735,2,0,0,1,Not Selected,0,Room_Type 1,162,2018,6,30,Online,0,0,0,85.5,0,Canceled
11916,INN11917,2,0,1,1,Meal Plan 1,0,Room_Type 1,67,2017,11,21,Online,0,0,0,79.2,1,Not_Canceled
28763,INN28764,2,0,2,3,Meal Plan 1,0,Room_Type 1,82,2018,11,4,Online,0,0,0,122.76,2,Not_Canceled
11871,INN11872,3,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,110.0,0,Canceled
7967,INN07968,2,0,2,5,Meal Plan 1,0,Room_Type 1,208,2018,5,21,Online,0,0,0,77.23,0,Canceled
23563,INN23564,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
31822,INN31823,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,76.0,0,Not_Canceled
16920,INN16921,2,0,0,2,Meal Plan 1,0,Room_Type 1,14,2018,7,21,Corporate,0,0,0,105.0,0,Not_Canceled
17347,INN17348,2,0,1,5,Meal Plan 1,0,Room_Type 4,125,2018,9,20,Online,0,0,0,143.1,0,Canceled
5772,INN05773,1,0,2,5,Meal Plan 1,0,Room_Type 1,93,2018,7,3,Online,0,0,0,108.9,0,Canceled
23429,INN23430,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65.0,0,Not_Canceled
11138,INN11139,2,0,1,4,Not Selected,0,Room_Type 1,49,2018,3,2,Online,0,0,0,65.75,0,Not_Canceled
14716,INN14717,2,0,1,0,Meal Plan 1,0,Room_Type 1,26,2018,9,4,Online,0,0,0,122.0,2,Not_Canceled
8429,INN08430,2,2,0,1,Meal Plan 1,1,Room_Type 6,20,2018,8,19,Online,0,0,0,240.0,1,Not_Canceled
31055,INN31056,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,9,20,Offline,0,0,0,85.5,0,Not_Canceled
25709,INN25710,2,0,1,3,Meal Plan 1,0,Room_Type 1,12,2017,10,12,Corporate,0,0,0,100.0,0,Not_Canceled
31552,INN31553,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120.0,0,Canceled
5901,INN05902,2,0,2,3,Meal Plan 1,0,Room_Type 1,59,2018,5,14,Offline,0,0,0,85.5,0,Not_Canceled
8286,INN08287,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,2018,4,27,Online,0,0,0,126.6,2,Not_Canceled
29984,INN29985,2,0,1,0,Meal Plan 1,0,Room_Type 1,27,2018,9,19,Offline,0,0,0,118.15,0,Canceled
8984,INN08985,1,0,1,1,Not Selected,0,Room_Type 1,5,2018,3,28,Online,0,0,0,84.0,1,Not_Canceled
5656,INN05657,2,0,2,3,Meal Plan 1,0,Room_Type 1,50,2018,1,22,Offline,0,0,0,60.0,0,Not_Canceled
28937,INN28938,1,0,0,1,Meal Plan 1,0,Room_Type 4,20,2018,5,26,Aviation,0,0,0,110.0,0,Canceled
7373,INN07374,2,0,0,5,Meal Plan 1,0,Room_Type 1,230,2018,9,6,Online,0,0,0,137.0,1,Canceled
35252,INN35253,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,2018,3,15,Offline,0,0,0,55.0,0,Not_Canceled
6721,INN06722,2,0,0,1,Not Selected,0,Room_Type 1,19,2018,9,15,Online,0,0,0,139.0,2,Not_Canceled
24226,INN24227,2,0,1,2,Meal Plan 1,0,Room_Type 1,112,2018,7,18,Online,0,0,0,105.3,2,Not_Canceled
12686,INN12687,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,24,Online,0,0,0,135.0,0,Canceled
8264,INN08265,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
29619,INN29620,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90.0,0,Not_Canceled
31750,INN31751,2,0,0,3,Meal Plan 1,0,Room_Type 4,157,2018,5,5,Online,0,0,0,127.0,0,Canceled
28495,INN28496,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Offline,0,0,0,120.0,0,Canceled
8325,INN08326,2,1,1,0,Meal Plan 1,0,Room_Type 4,105,2018,8,7,Offline,0,0,0,99.28,0,Canceled
7629,INN07630,2,0,2,4,Meal Plan 1,0,Room_Type 1,20,2017,10,4,Online,0,0,0,107.0,1,Not_Canceled
11421,INN11422,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,1,9,Online,0,0,0,75.0,0,Not_Canceled
21932,INN21933,2,0,1,1,Not Selected,0,Room_Type 1,36,2018,10,3,Online,0,0,0,97.2,0,Canceled
25169,INN25170,2,2,2,2,Meal Plan 1,0,Room_Type 2,25,2018,1,1,Online,0,0,0,178.25,0,Canceled
12329,INN12330,2,0,1,2,Meal Plan 1,0,Room_Type 4,101,2018,4,11,Online,0,0,0,85.6,0,Not_Canceled
33328,INN33329,2,0,2,5,Not Selected,0,Room_Type 1,142,2018,8,22,Online,0,0,0,68.8,1,Not_Canceled
31982,INN31983,2,0,2,4,Not Selected,0,Room_Type 1,262,2018,12,14,Online,0,0,0,63.75,0,Canceled
24819,INN24820,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,2018,10,28,Online,0,0,0,109.8,0,Canceled
5435,INN05436,2,0,1,0,Meal Plan 1,0,Room_Type 4,6,2018,8,21,Online,0,0,0,145.0,2,Not_Canceled
4437,INN04438,2,0,2,5,Meal Plan 1,0,Room_Type 5,32,2018,9,13,Online,0,0,0,137.52,0,Canceled
10382,INN10383,1,0,0,3,Meal Plan 1,0,Room_Type 4,28,2018,6,14,Online,0,0,0,108.42,1,Not_Canceled
24981,INN24982,2,0,0,2,Meal Plan 1,0,Room_Type 4,48,2017,10,9,Offline,0,0,0,87.3,0,Not_Canceled
17826,INN17827,2,0,4,10,Meal Plan 1,0,Room_Type 4,146,2018,7,30,Online,0,0,0,117.66,1,Canceled
24837,INN24838,2,0,0,1,Not Selected,0,Room_Type 1,207,2018,10,4,Online,0,0,0,98.1,0,Canceled
18073,INN18074,2,0,0,4,Meal Plan 1,0,Room_Type 1,72,2017,10,21,Online,0,0,0,89.25,1,Not_Canceled
18880,INN18881,2,1,0,2,Meal Plan 1,0,Room_Type 1,157,2018,7,14,Online,0,0,0,121.5,1,Canceled
30682,INN30683,2,0,0,2,Not Selected,0,Room_Type 1,13,2018,2,12,Online,0,0,0,79.0,1,Not_Canceled
18792,INN18793,2,0,3,5,Meal Plan 1,0,Room_Type 1,86,2018,4,25,Online,0,0,0,105.4,1,Canceled
22641,INN22642,2,0,0,4,Meal Plan 1,0,Room_Type 1,85,2018,3,29,Online,0,0,0,82.45,1,Not_Canceled
5782,INN05783,2,0,1,0,Meal Plan 1,0,Room_Type 1,103,2018,4,11,Online,0,0,0,76.22,1,Not_Canceled
16163,INN16164,2,0,2,2,Meal Plan 1,0,Room_Type 1,141,2018,5,15,Online,0,0,0,104.55,1,Not_Canceled
19169,INN19170,1,0,0,4,Not Selected,0,Room_Type 1,236,2018,9,27,Online,0,0,0,81.16,1,Canceled
9715,INN09716,1,0,2,1,Meal Plan 1,1,Room_Type 1,3,2018,3,13,Corporate,0,0,0,69.0,0,Not_Canceled
10699,INN10700,3,0,0,2,Meal Plan 1,1,Room_Type 4,183,2018,7,26,Online,0,0,0,137.7,1,Canceled
35846,INN35847,2,0,2,2,Meal Plan 1,0,Room_Type 1,6,2017,12,25,Offline,0,0,0,43.5,1,Not_Canceled
4895,INN04896,2,0,0,1,Not Selected,0,Room_Type 1,119,2018,11,10,Online,0,0,0,161.1,1,Not_Canceled
26342,INN26343,2,0,0,2,Meal Plan 1,0,Room_Type 1,87,2018,10,19,Online,0,0,0,118.8,1,Not_Canceled
20421,INN20422,2,0,1,1,Meal Plan 1,0,Room_Type 4,267,2018,10,1,Online,0,0,0,115.2,0,Canceled
13395,INN13396,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,6,7,Online,1,0,1,109.0,1,Not_Canceled
32916,INN32917,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2017,12,1,Online,0,0,0,81.0,1,Not_Canceled
16669,INN16670,2,0,0,4,Meal Plan 1,0,Room_Type 4,81,2018,6,7,Online,0,0,0,132.6,0,Not_Canceled
32376,INN32377,1,0,2,3,Meal Plan 1,0,Room_Type 1,40,2018,6,26,Online,0,0,0,110.7,0,Not_Canceled
18752,INN18753,2,0,2,3,Meal Plan 1,0,Room_Type 4,79,2018,4,2,Online,0,0,0,92.65,1,Not_Canceled
26116,INN26117,2,0,2,3,Meal Plan 1,0,Room_Type 4,29,2018,5,20,Online,0,0,0,132.72,1,Canceled
29301,INN29302,2,0,0,3,Meal Plan 1,0,Room_Type 1,99,2017,12,15,Online,0,0,0,72.25,1,Not_Canceled
7446,INN07447,2,0,2,1,Meal Plan 1,0,Room_Type 1,205,2018,5,29,Online,0,0,0,90.0,0,Canceled
33004,INN33005,1,0,1,2,Meal Plan 1,0,Room_Type 4,21,2018,11,7,Online,0,0,0,210.0,1,Not_Canceled
15901,INN15902,2,0,1,5,Meal Plan 1,0,Room_Type 1,0,2018,8,9,Online,0,0,0,170.0,1,Not_Canceled
34447,INN34448,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,10,5,Online,0,0,0,152.0,2,Not_Canceled
10754,INN10755,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,5,25,Online,0,0,0,106.25,1,Not_Canceled
35430,INN35431,2,0,0,3,Meal Plan 1,0,Room_Type 4,22,2018,11,10,Online,0,0,0,118.07,1,Not_Canceled
29328,INN29329,2,0,0,1,Not Selected,0,Room_Type 1,0,2017,8,6,Online,0,0,0,81.0,0,Not_Canceled
3083,INN03084,1,0,1,0,Meal Plan 1,0,Room_Type 1,20,2018,9,19,Corporate,0,0,0,119.0,0,Not_Canceled
33400,INN33401,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
23197,INN23198,2,0,0,4,Not Selected,0,Room_Type 1,3,2018,12,28,Online,0,0,0,95.2,0,Not_Canceled
207,INN00208,2,0,2,3,Meal Plan 1,0,Room_Type 1,34,2018,8,21,Offline,0,0,0,85.0,0,Not_Canceled
28982,INN28983,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,Canceled
25592,INN25593,1,0,2,7,Meal Plan 1,0,Room_Type 1,215,2018,7,29,Online,0,0,0,90.95,1,Not_Canceled
3374,INN03375,2,1,0,3,Meal Plan 2,0,Room_Type 1,150,2018,6,16,Offline,0,0,0,90.0,2,Not_Canceled
10526,INN10527,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
30137,INN30138,2,2,0,1,Meal Plan 1,0,Room_Type 6,216,2018,8,5,Online,0,0,0,177.3,2,Canceled
34839,INN34840,2,0,2,1,Not Selected,0,Room_Type 1,67,2018,4,3,Online,0,0,0,85.5,0,Canceled
32007,INN32008,1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73.0,0,Not_Canceled
9686,INN09687,2,0,2,2,Meal Plan 1,0,Room_Type 1,60,2018,7,9,Online,0,0,0,112.95,1,Not_Canceled
19201,INN19202,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,2018,9,26,Offline,0,0,0,95.0,0,Canceled
5249,INN05250,2,0,1,3,Meal Plan 2,0,Room_Type 1,106,2018,11,21,Online,0,0,0,117.3,2,Canceled
32581,INN32582,1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73.0,0,Not_Canceled
8533,INN08534,2,0,0,3,Meal Plan 1,0,Room_Type 4,0,2018,11,24,Online,0,0,0,74.54,0,Not_Canceled
35575,INN35576,3,0,1,3,Meal Plan 1,0,Room_Type 4,138,2018,8,22,Online,0,0,0,135.45,1,Canceled
34503,INN34504,2,0,2,2,Meal Plan 1,1,Room_Type 4,22,2018,1,1,Online,0,0,0,120.5,0,Not_Canceled
14484,INN14485,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Offline,0,0,0,110.0,0,Canceled
4255,INN04256,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Online,0,0,0,100.0,0,Canceled
2475,INN02476,2,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Offline,0,0,0,109.0,0,Not_Canceled
10756,INN10757,3,0,0,3,Meal Plan 1,0,Room_Type 4,7,2018,3,23,Online,0,0,0,173.0,0,Not_Canceled
5051,INN05052,2,0,0,0,Not Selected,0,Room_Type 1,10,2018,1,17,Online,0,0,0,0.0,1,Not_Canceled
3713,INN03714,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,27,Corporate,0,0,0,160.0,0,Not_Canceled
6704,INN06705,3,0,1,3,Meal Plan 1,0,Room_Type 4,86,2018,7,14,Online,0,0,0,137.7,2,Not_Canceled
2472,INN02473,2,0,0,0,Not Selected,0,Room_Type 1,19,2017,12,16,Online,0,0,0,0.0,0,Not_Canceled
10106,INN10107,2,0,2,1,Meal Plan 1,0,Room_Type 1,15,2018,11,19,Online,0,0,0,99.67,2,Not_Canceled
31367,INN31368,2,0,2,2,Meal Plan 1,0,Room_Type 1,30,2018,11,12,Online,0,0,0,68.71,0,Canceled
16456,INN16457,1,0,1,3,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
14210,INN14211,2,0,0,3,Not Selected,0,Room_Type 1,22,2017,10,21,Online,0,0,0,87.78,2,Not_Canceled
7843,INN07844,2,0,0,1,Meal Plan 2,0,Room_Type 1,72,2017,9,18,Offline,0,0,0,108.0,0,Not_Canceled
12323,INN12324,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
25766,INN25767,2,0,2,3,Not Selected,1,Room_Type 1,104,2018,4,28,Online,0,0,0,96.55,1,Not_Canceled
31007,INN31008,1,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,7,7,Corporate,0,0,0,79.0,0,Canceled
10793,INN10794,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,Canceled
33893,INN33894,1,0,1,1,Meal Plan 1,0,Room_Type 1,106,2018,7,16,Online,0,0,0,99.9,0,Canceled
17625,INN17626,3,0,2,3,Meal Plan 2,0,Room_Type 4,116,2018,12,24,Online,0,0,0,172.85,2,Not_Canceled
29371,INN29372,3,0,2,5,Meal Plan 1,0,Room_Type 4,140,2018,7,31,Online,0,0,0,132.48,0,Not_Canceled
32496,INN32497,3,0,2,2,Not Selected,0,Room_Type 1,135,2018,7,15,Online,0,0,0,92.28,2,Not_Canceled
34604,INN34605,2,0,0,3,Not Selected,0,Room_Type 1,0,2018,7,6,Online,0,0,0,145.67,0,Not_Canceled
23164,INN23165,3,0,2,5,Meal Plan 1,0,Room_Type 4,153,2018,10,17,Online,0,0,0,151.2,3,Not_Canceled
32117,INN32118,2,0,2,3,Meal Plan 1,0,Room_Type 1,12,2018,1,7,Online,0,0,0,87.0,0,Not_Canceled
28482,INN28483,1,0,0,1,Meal Plan 1,0,Room_Type 1,33,2018,9,2,Online,0,0,0,104.4,1,Not_Canceled
4358,INN04359,1,0,0,2,Meal Plan 1,0,Room_Type 1,19,2018,1,1,Online,0,0,0,107.0,1,Not_Canceled
17727,INN17728,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,Canceled
33537,INN33538,2,0,0,0,Meal Plan 1,0,Room_Type 2,166,2018,4,21,Online,0,0,0,0.0,2,Not_Canceled
21400,INN21401,2,0,2,1,Meal Plan 1,0,Room_Type 4,8,2018,1,2,Online,0,0,0,92.95,1,Not_Canceled
7421,INN07422,2,0,1,2,Not Selected,0,Room_Type 1,51,2018,3,11,Online,0,0,0,76.5,0,Canceled
27213,INN27214,2,0,2,4,Not Selected,0,Room_Type 1,288,2018,12,25,Online,0,0,0,66.58,0,Canceled
9160,INN09161,3,0,0,4,Meal Plan 1,0,Room_Type 4,98,2018,6,29,Online,0,0,0,146.7,0,Canceled
26122,INN26123,2,0,0,2,Meal Plan 2,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,120.0,0,Not_Canceled
23711,INN23712,2,1,0,1,Meal Plan 1,0,Room_Type 6,9,2018,12,10,Complementary,1,0,8,0.0,1,Not_Canceled
33755,INN33756,1,0,1,1,Meal Plan 1,0,Room_Type 1,9,2018,11,26,Online,0,0,0,89.55,2,Not_Canceled
27042,INN27043,2,0,0,2,Meal Plan 1,0,Room_Type 1,308,2018,11,25,Offline,0,0,0,52.0,0,Canceled
16014,INN16015,2,0,0,5,Meal Plan 1,0,Room_Type 1,148,2018,7,19,Online,0,0,0,79.2,1,Not_Canceled
2852,INN02853,1,0,2,0,Meal Plan 2,0,Room_Type 1,132,2018,7,3,Online,0,0,0,90.9,1,Not_Canceled
11695,INN11696,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
14996,INN14997,2,0,0,4,Meal Plan 1,0,Room_Type 1,27,2018,11,23,Online,0,0,0,68.07,1,Not_Canceled
17014,INN17015,2,0,0,2,Not Selected,0,Room_Type 1,46,2018,3,4,Online,0,0,0,67.5,0,Canceled
29344,INN29345,2,0,1,3,Meal Plan 1,0,Room_Type 1,110,2018,8,15,Online,0,0,0,117.9,0,Canceled
17633,INN17634,0,2,1,3,Meal Plan 1,0,Room_Type 2,91,2018,4,4,Online,0,0,0,73.74,0,Not_Canceled
26160,INN26161,2,0,0,3,Meal Plan 1,0,Room_Type 1,276,2018,9,22,Offline,0,0,0,116.33,0,Canceled
3040,INN03041,2,0,1,3,Meal Plan 1,0,Room_Type 1,240,2018,10,27,Online,0,0,0,90.95,2,Not_Canceled
16035,INN16036,2,0,2,2,Meal Plan 1,0,Room_Type 4,140,2018,6,19,Online,0,0,0,127.71,1,Not_Canceled
145,INN00146,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,6,1,Complementary,1,3,5,0.0,1,Not_Canceled
23384,INN23385,2,0,1,2,Meal Plan 1,0,Room_Type 1,75,2018,7,8,Online,0,0,0,115.5,1,Not_Canceled
31910,INN31911,1,0,0,3,Meal Plan 1,0,Room_Type 1,18,2018,6,21,Corporate,0,0,0,90.0,0,Not_Canceled
7227,INN07228,2,0,1,2,Meal Plan 1,0,Room_Type 1,66,2017,10,9,Offline,0,0,0,75.0,0,Not_Canceled
34084,INN34085,2,0,1,3,Meal Plan 1,0,Room_Type 4,50,2018,3,28,Online,0,0,0,98.6,0,Canceled
36063,INN36064,2,2,2,2,Meal Plan 1,0,Room_Type 6,54,2018,2,28,Online,0,0,0,148.33,0,Canceled
31401,INN31402,2,2,1,5,Meal Plan 1,0,Room_Type 6,48,2018,9,6,Online,0,0,0,195.3,2,Not_Canceled
9852,INN09853,2,0,1,0,Meal Plan 1,0,Room_Type 1,258,2018,10,16,Offline,0,0,0,110.0,0,Canceled
10617,INN10618,2,0,0,2,Meal Plan 1,0,Room_Type 4,2,2018,11,24,Online,0,0,0,108.9,0,Canceled
16393,INN16394,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,2018,5,22,Offline,0,0,0,80.75,0,Not_Canceled
28552,INN28553,3,0,1,1,Meal Plan 1,0,Room_Type 4,35,2018,9,26,Online,0,0,0,149.4,1,Canceled
35768,INN35769,2,0,2,3,Meal Plan 1,0,Room_Type 4,18,2018,5,7,Online,0,0,0,138.0,0,Canceled
23253,INN23254,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,11,24,Offline,0,0,0,95.0,0,Not_Canceled
34068,INN34069,2,0,2,2,Meal Plan 1,0,Room_Type 4,85,2018,5,15,Online,0,0,0,132.6,1,Not_Canceled
